"year","division","tpp"
2016,"Warringah",38.3387261580381
2016,"Watson",66.6035120735475
2016,"Wentworth",32.5275088938529
2016,"Werriwa",58.4001257268584
2016,"Whitlam",63.422444379979
2016,"Wide Bay",42.2337463547234
2016,"Wills",71.7612878643551
2016,"Wright",41.916861118313
2019,"Adelaide",58.18
2019,"Aston",39.87
2019,"Ballarat",60.98
2019,"Banks",43.74
2019,"Barker",31.06
2019,"Barton",59.41
2019,"Bass",49.59
2019,"Bean",57.52
2019,"Bendigo",59.04
2019,"Bennelong",43.09
2019,"Berowra",34.35
2019,"Blair",51.21
2019,"Blaxland",64.72
2019,"Bonner",42.59
2019,"Boothby",48.62
2019,"Bowman",39.76
2019,"Braddon",46.91
2019,"Bradfield",33.44
2019,"Brand",56.66
2019,"Brisbane",45.08
2019,"Bruce",64.15
2019,"Burt",54.99
2019,"Calare",36.71
2019,"Calwell",68.8
2019,"Canberra",67.08
2019,"Canning",38.45
2019,"Capricornia",37.65
2019,"Casey",45.36
2019,"Chifley",62.37
2019,"Chisholm",49.43
2019,"Clark",66.17
2019,"Cook",30.98
2019,"Cooper",76.32
2019,"Corangamite",51.07
2019,"Corio",60.32
2019,"Cowan",50.83
2019,"Cowper",38.12
2019,"Cunningham",63.41
2019,"Curtin",35.67
2019,"Dawson",35.39
2019,"Deakin",45.22
2019,"Dickson",45.36
2019,"Dobell",51.5
2019,"Dunkley",52.74
2019,"Durack",35.24
2019,"Eden-Monaro",50.85
2019,"Fadden",35.82
2019,"Fairfax",36.56
2019,"Farrer",30.17
2019,"Fenner",60.56
2019,"Fisher",37.3
2019,"Flinders",44.36
2019,"Flynn",41.34
2019,"Forde",41.4
2019,"Forrest",35.44
2019,"Fowler",63.99
2019,"Franklin",62.21
2019,"Fraser",64.18
2019,"Fremantle",56.92
2019,"Gellibrand",64.83
2019,"Gilmore",52.61
2019,"Gippsland",33.33
2019,"Goldstein",42.21
2019,"Gorton",65.36
2019,"Grayndler",73.83
2019,"Greenway",52.8
2019,"Grey",36.68
2019,"Griffith",52.86
2019,"Groom",29.52
2019,"Hasluck",44.61
2019,"Herbert",41.64
2019,"Higgins",46.12
2019,"Hindmarsh",56.54
2019,"Hinkler",35.5
2019,"Holt",58.7
2019,"Hotham",55.91
2019,"Hughes",40.15
2019,"Hume",37.01
2019,"Hunter",52.98
2019,"Indi",37.27
2019,"Isaacs",56.43
2019,"Jagajaga",56.57
2019,"Kennedy",35.49
2019,"Kingsford Smith",58.81
2019,"Kingston",61.94
2019,"Kooyong",43.32
2019,"La Trobe",45.51
2019,"Lalor",62.41
2019,"Leichhardt",45.83
2019,"Lilley",50.64
2019,"Lindsay",44.96
2019,"Lingiari",55.46
2019,"Longman",46.72
2019,"Lyne",34.83
2019,"Lyons",55.18
2019,"Macarthur",58.4
2019,"Mackellar",36.78
2019,"Macnamara",56.25
2019,"Macquarie",50.19
2019,"Makin",59.72
2019,"Mallee",33.77
2019,"Maranoa",24.58
2019,"Maribyrnong",61.2
2019,"Mayo",47.46
2019,"McEwen",55.02
2019,"McMahon",56.64
2019,"McPherson",37.8
2019,"Melbourne",67.06
2019,"Menzies",42.47
2019,"Mitchell",31.37
2019,"Monash",42.64
2019,"Moncrieff",34.64
2019,"Moore",38.35
2019,"Moreton",51.9
2019,"New England",32.37
2019,"Newcastle",63.83
2019,"Nicholls",29.97
2019,"North Sydney",40.73
2019,"O'Connor",35.52
2019,"Oxley",56.39
2019,"Page",40.55
2019,"Parkes",33.09
2019,"Parramatta",53.5
2019,"Paterson",55.04
2019,"Pearce",42.48
2019,"Perth",54.93
2019,"Petrie",41.6
2019,"Rankin",56.44
2019,"Reid",46.82
2019,"Richmond",54.08
2019,"Riverina",30.52
2019,"Robertson",45.76
2019,"Ryan",43.97
2019,"Scullin",71.66
2019,"Shortland",54.45
2019,"Solomon",53.08
2019,"Spence",64.13
2019,"Stirling",44.35
2019,"Sturt",43.13
2019,"Swan",47.31
2019,"Sydney",68.67
2019,"Tangney",38.53
2019,"Wannon",39.62
2019,"Warringah",47.88
2019,"Watson",63.52
2019,"Wentworth",40.15
2019,"Werriwa",55.47
2019,"Whitlam",60.91
2019,"Wide Bay",36.85
2019,"Wills",75.85
2019,"Wright",35.42
