"date","pollster","party","poll"
1987-06-07,"F2F Morgan","oth",7
1987-06-14,"F2F Morgan","lnp",44
1987-06-14,"F2F Morgan","alp",48
1987-06-14,"F2F Morgan","oth",8
1987-06-21,"F2F Morgan","lnp",43
1987-06-21,"F2F Morgan","alp",49
1987-06-21,"F2F Morgan","oth",8
1987-06-28,"F2F Morgan","lnp",43.5
1987-06-28,"F2F Morgan","alp",48.5
1987-06-28,"F2F Morgan","oth",8
1987-07-05,"F2F Morgan","lnp",44
1987-07-05,"F2F Morgan","alp",48
1987-07-05,"F2F Morgan","oth",8
1993-03-20,"Newspoll","lnp",41
1993-03-20,"Newspoll","alp",47
1993-04-03,"Newspoll","lnp",42
1993-04-03,"Newspoll","alp",48
1993-06-12,"Newspoll","lnp",45
1993-06-12,"Newspoll","alp",45
1993-07-10,"Newspoll","lnp",50
1993-07-10,"Newspoll","alp",41
1993-08-21,"Newspoll","lnp",54
1993-08-21,"Newspoll","alp",31
1993-04-21,"F2F Morgan","tpp",54.5
1993-05-05,"F2F Morgan","tpp",51.5
1993-05-19,"F2F Morgan","tpp",51
1993-06-02,"F2F Morgan","tpp",51.5
1993-06-16,"F2F Morgan","tpp",52.5
1993-06-30,"F2F Morgan","tpp",51.5
1993-07-14,"F2F Morgan","tpp",49.5
1993-07-28,"F2F Morgan","tpp",49
1993-08-11,"F2F Morgan","tpp",47.5
1993-08-21,"F2F Morgan","tpp",43
1993-09-01,"F2F Morgan","tpp",42.5
1993-09-15,"F2F Morgan","tpp",42
1993-09-29,"F2F Morgan","tpp",44
1993-10-13,"F2F Morgan","tpp",44
1993-10-27,"F2F Morgan","tpp",45
1993-11-10,"F2F Morgan","tpp",44
1993-11-24,"F2F Morgan","tpp",46.5
1993-12-08,"F2F Morgan","tpp",46.5
1994-01-12,"F2F Morgan","tpp",46.5
1994-01-26,"F2F Morgan","tpp",48
1994-02-09,"F2F Morgan","tpp",48
1994-02-23,"F2F Morgan","tpp",46.5
1994-03-09,"F2F Morgan","tpp",46.5
1994-03-23,"F2F Morgan","tpp",49.5
1994-04-06,"F2F Morgan","tpp",48
1994-04-20,"F2F Morgan","tpp",50.5
1994-05-04,"F2F Morgan","tpp",52
1994-05-18,"F2F Morgan","tpp",51
1994-05-29,"F2F Morgan","tpp",50
1994-06-08,"F2F Morgan","tpp",47
1994-06-22,"F2F Morgan","tpp",48
1994-07-06,"F2F Morgan","tpp",47.5
1994-07-20,"F2F Morgan","tpp",46
1994-07-31,"F2F Morgan","tpp",47
1994-08-07,"F2F Morgan","tpp",52
1994-08-14,"F2F Morgan","tpp",48
1994-08-24,"F2F Morgan","tpp",50
1994-09-07,"F2F Morgan","tpp",48.5
1994-09-21,"F2F Morgan","tpp",52
1994-10-05,"F2F Morgan","tpp",54
1994-10-19,"F2F Morgan","tpp",51.5
1994-11-02,"F2F Morgan","tpp",51
1994-11-16,"F2F Morgan","tpp",52.5
1994-11-30,"F2F Morgan","tpp",52.5
1994-12-14,"F2F Morgan","tpp",52
1995-01-11,"F2F Morgan","tpp",51
1995-01-21,"F2F Morgan","tpp",53
1995-01-28,"F2F Morgan","tpp",52
1995-02-08,"F2F Morgan","tpp",45
1995-02-19,"F2F Morgan","tpp",44.5
1995-03-01,"F2F Morgan","tpp",45
1995-03-15,"F2F Morgan","tpp",47
1995-03-29,"F2F Morgan","tpp",47.5
1995-04-12,"F2F Morgan","tpp",47
1995-04-26,"F2F Morgan","tpp",45
1995-05-06,"F2F Morgan","tpp",46.5
1995-05-13,"F2F Morgan","tpp",48.5
1995-05-24,"F2F Morgan","tpp",49
1995-06-07,"F2F Morgan","tpp",47
1995-06-21,"F2F Morgan","tpp",46
1995-07-05,"F2F Morgan","tpp",47.5
1995-07-19,"F2F Morgan","tpp",48
1995-08-02,"F2F Morgan","tpp",47
